STATE,ALLCOUNTIES,Time 1,Time 2,Time 3
Alabama,Autauga,Naur,Yes,Yes
Alabama,Baldwin,Naur,Yes,Yes
Alabama,Barbour,Naur,Yes,Yes
Alabama,Bibb,Naur,Yes,Yes
Alabama,Blount,Naur,Yes,Yes
Alabama,Bullock,Naur,Yes,Yes
Alabama,Butler,Naur,Yes,Yes
Alabama,Calhoun,Naur,Yes,Yes
Alabama,Chambers,Naur,Yes,Yes
Alabama,Cherokee,Naur,Yes,Yes
Alabama,Chilton,Naur,Yes,Yes
Alabama,Choctaw,Naur,Yes,Yes
Alabama,Clarke,Naur,Yes,Yes
Alabama,Clay,Naur,Yes,Yes
Alabama,Cleburne,Naur,Yes,Yes
Alabama,Coffee,Naur,Yes,Yes
Alabama,Colbert,Naur,Yes,Yes
Alabama,Conecuh,Naur,Yes,Yes
Alabama,Coosa,Naur,Yes,Yes
Alabama,Covington,Naur,Yes,Yes
Alabama,Crenshaw,Naur,Yes,Yes
Alabama,Cullman,Naur,Yes,Yes
Alabama,Dale,Naur,Yes,Yes
Alabama,Dallas,Naur,Yes,Yes
Alabama,DeKalb,Naur,Yes,Yes
Alabama,Elmore,Naur,Yes,Yes
Alabama,Escambia,Naur,Yes,Yes
Alabama,Etowah,Naur,Yes,Yes
Alabama,Fayette,Naur,Yes,Yes
Alabama,Franklin,Naur,Yes,Yes
Alabama,Geneva,Naur,Yes,Yes
Alabama,Greene,Naur,Yes,Yes
Alabama,Hale,Naur,Yes,Yes
Alabama,Henry,Naur,Yes,Yes
Alabama,Houston,Naur,Yes,Yes
Alabama,Jackson,Naur,Yes,Yes
Alabama,Jefferson,Yes,Yes,Yes
Alabama,Lamar,Naur,Yes,Yes
Alabama,Lauderdale,Naur,Yes,Yes
Alabama,Lawrence,Naur,Yes,Yes
Alabama,Lee,Naur,Yes,Yes
Alabama,Limestone,Naur,Yes,Yes
Alabama,Lowndes,Naur,Yes,Yes
Alabama,Macon,Naur,Yes,Yes
Alabama,Madison,Naur,Yes,Yes
Alabama,Marengo,Naur,Yes,Yes
Alabama,Marion,Naur,Yes,Yes
Alabama,Marshall,Naur,Yes,Yes
Alabama,Mobile,Yes,Yes,Yes
Alabama,Monroe,Naur,Yes,Yes
Alabama,Montgomery,Naur,Yes,Yes
Alabama,Morgan,Naur,Yes,Yes
Alabama,Perry,Naur,Yes,Yes
Alabama,Pickens,Naur,Yes,Yes
Alabama,Pike,Naur,Yes,Yes
Alabama,Randolph,Naur,Yes,Yes
Alabama,Russell,Naur,Yes,Yes
Alabama,Shelby,Naur,Yes,Yes
Alabama,St Clair,Naur,Yes,Yes
Alabama,Sumter,Naur,Yes,Yes
Alabama,Talladega,Naur,Yes,Yes
Alabama,Tallapoosa,Naur,Yes,Yes
Alabama,Tuscaloosa,Naur,Yes,Yes
Alabama,Walker,Naur,Yes,Yes
Alabama,Washington,Naur,Yes,Yes
Alabama,Wilcox,Naur,Yes,Yes
