,STATE,GISJOIN,STATEICP,STATEFIPS,COUNTYFIPS,ALLCOUNTIES,GR.LRA3
0,Alabama,G0100010,41.0,1,10,Autauga,1.0
1,Alabama,G0100030,41.0,1,30,Baldwin,1.0
2,Alabama,G0100050,41.0,1,50,Barbour,1.0
3,Alabama,G0100070,41.0,1,70,Bibb,1.0
4,Alabama,G0100090,41.0,1,90,Blount,1.0
5,Alabama,G0100110,41.0,1,110,Bullock,1.0
6,Alabama,G0100130,41.0,1,130,Butler,1.0
7,Alabama,G0100150,41.0,1,150,Calhoun,1.0
8,Alabama,G0100170,41.0,1,170,Chambers,1.0
9,Alabama,G0100190,41.0,1,190,Cherokee,1.0
10,Alabama,G0100210,41.0,1,210,Chilton,1.0
11,Alabama,G0100230,41.0,1,230,Choctaw,1.0
12,Alabama,G0100250,41.0,1,250,Clarke,1.0
13,Alabama,G0100270,41.0,1,270,Clay,1.0
14,Alabama,G0100290,41.0,1,290,Cleburne,1.0
15,Alabama,G0100310,41.0,1,310,Coffee,1.0
16,Alabama,G0100330,41.0,1,330,Colbert,1.0
17,Alabama,G0100350,41.0,1,350,Conecuh,1.0
18,Alabama,G0100370,41.0,1,370,Coosa,1.0
19,Alabama,G0100390,41.0,1,390,Covington,1.0
20,Alabama,G0100410,41.0,1,410,Crenshaw,1.0
21,Alabama,G0100430,41.0,1,430,Cullman,1.0
22,Alabama,G0100450,41.0,1,450,Dale,1.0
23,Alabama,G0100470,41.0,1,470,Dallas,1.0
24,Alabama,G0100490,41.0,1,490,DeKalb,1.0
25,Alabama,G0100510,41.0,1,510,Elmore,1.0
26,Alabama,G0100530,41.0,1,530,Escambia,1.0
27,Alabama,G0100550,41.0,1,550,Etowah,1.0
28,Alabama,G0100570,41.0,1,570,Fayette,1.0
29,Alabama,G0100590,41.0,1,590,Franklin,1.0
30,Alabama,G0100610,41.0,1,610,Geneva,1.0
31,Alabama,G0100630,41.0,1,630,Greene,1.0
32,Alabama,G0100650,41.0,1,650,Hale,1.0
33,Alabama,G0100670,41.0,1,670,Henry,1.0
34,Alabama,G0100690,41.0,1,690,Houston,1.0
35,Alabama,G0100710,41.0,1,710,Jackson,1.0
36,Alabama,G0100730,41.0,1,730,Jefferson,1.0
37,Alabama,G0100750,41.0,1,750,Lamar,1.0
38,Alabama,G0100770,41.0,1,770,Lauderdale,1.0
39,Alabama,G0100790,41.0,1,790,Lawrence,1.0
40,Alabama,G0100810,41.0,1,810,Lee,1.0
41,Alabama,G0100830,41.0,1,830,Limestone,1.0
42,Alabama,G0100850,41.0,1,850,Lowndes,1.0
43,Alabama,G0100870,41.0,1,870,Macon,1.0
44,Alabama,G0100890,41.0,1,890,Madison,1.0
45,Alabama,G0100910,41.0,1,910,Marengo,1.0
46,Alabama,G0100930,41.0,1,930,Marion,1.0
47,Alabama,G0100950,41.0,1,950,Marshall,1.0
48,Alabama,G0100970,41.0,1,970,Mobile,1.0
49,Alabama,G0100990,41.0,1,990,Monroe,1.0
50,Alabama,G0101010,41.0,1,1010,Montgomery,1.0
51,Alabama,G0101030,41.0,1,1030,Morgan,1.0
52,Alabama,G0101050,41.0,1,1050,Perry,1.0
53,Alabama,G0101070,41.0,1,1070,Pickens,1.0
54,Alabama,G0101090,41.0,1,1090,Pike,1.0
55,Alabama,G0101110,41.0,1,1110,Randolph,1.0
56,Alabama,G0101130,41.0,1,1130,Russell,1.0
57,Alabama,G0101170,41.0,1,1170,Shelby,1.0
58,Alabama,G0101150,41.0,1,1150,St Clair,1.0
59,Alabama,G0100010,41.0,1,1190,Sumter,1.0
60,Alabama,G0100030,41.0,1,1210,Talladega,1.0
61,Alabama,G0100050,41.0,1,1230,Tallapoosa,1.0
62,Alabama,G0100070,41.0,1,1250,Tuscaloosa,1.0
63,Alabama,G0100090,41.0,1,1270,Walker,1.0
64,Alabama,G0100110,41.0,1,1290,Washington,1.0
65,Alabama,G0100130,41.0,1,1310,Wilcox,1.0
66,Alabama,G0100150,41.0,1,1330,Winston,1.0
67,Alaska,G0100250,81.0,2,10,Aleutian Islands,1.0
68,Alaska,G0100270,81.0,2,13,Aleutians East,1.0
69,Alaska,G0100290,81.0,2,16,Aleutians West,1.0
70,Alaska,G0100310,81.0,2,20,Anchorage,1.0
71,Alaska,G0100330,81.0,2,40,Barrow,1.0
72,Alaska,G0100350,81.0,2,50,Bethel,1.0
73,Alaska,G0100370,81.0,2,60,Bristol Bay Borough,1.0
74,Alaska,G0100390,81.0,2,62,Bristol Bay Division,1.0
75,Alaska,G0100410,81.0,2,63,Chugach Census Area,1.0
76,Alaska,G0100430,81.0,2,66,Copper River Census Area,1.0
77,Alaska,G0100450,81.0,2,80,Cordova-McCarthy,1.0
78,Alaska,G0100470,81.0,2,68,Denali,1.0
79,Alaska,G0100490,81.0,2,70,Dillingham,1.0
80,Alaska,G0100510,81.0,2,90,Fairbanks North Star,1.0
81,Alaska,G0100530,81.0,2,100,Haines,1.0
82,Alaska,G0100550,81.0,2,105,Hoonah-Angoon Census Area,1.0
83,Alaska,G0100570,81.0,2,110,Juneau,1.0
84,Alaska,G0100590,81.0,2,122,Kenai Peninsula,1.0
85,Alaska,G0100610,81.0,2,120,Kenai-Cook Inlet,1.0
86,Alaska,G0100630,81.0,2,130,Ketchikan Gateway,1.0
87,Alaska,G0100650,81.0,2,140,Kobuk,1.0
88,Alaska,G0100670,81.0,2,150,Kodiak Island,1.0
89,Alaska,G0100690,81.0,2,158,Kusilvak Census Area,1.0
90,Alaska,G0100710,81.0,2,160,Kuskokwim,1.0
91,Alaska,G0100730,81.0,2,164,Lake And Peninsula,1.0
92,Alaska,G0100750,81.0,2,170,Matanuska-Susitna,1.0
93,Alaska,G0100770,81.0,2,180,Nome,1.0
94,Alaska,G0100790,81.0,2,185,North Slope,1.0
95,Alaska,G0100810,81.0,2,188,Northwest Arctic,1.0
96,Alaska,G0100830,81.0,2,190,Outer Ketchikan,1.0
97,Alaska,G0100850,81.0,2,195,Petersburg Borough,1.0
98,Alaska,G0100870,81.0,2,200,Prince Of Wales,1.0
99,Alaska,G0100890,81.0,2,198,Prince of Wales-Hyder Census Area,1.0
100,Alaska,G0100910,81.0,2,201,Prince Of Wales-Outer Ketchikan,1.0
101,Alaska,G0100930,81.0,2,210,Seward,1.0
102,Alaska,G0100950,81.0,2,220,Sitka,1.0
103,Alaska,G0100970,81.0,2,230,Skagway Municipality,1.0
104,Alaska,G0100990,81.0,2,232,Skagway-Hoonah-Angoon,1.0
105,Alaska,G0101010,81.0,2,231,Skagway-Yakutat-Angoon,1.0
