,STATE,GISJOIN,STATEFIPS,COUNTYFIPS,ALLCOUNTIES,GR.SV2,GR.LRA2,GR.LRA3,MM.LRA1,EP.SV1,EP.LRA1,EP.SV2,EP.LRA2,EP.SV3,cty_percentage
0,Alabama,G0100010,1,10,Autauga,1,1,1,1,0,0,0,0,1,0.190908009080241
1,Alabama,G0100030,1,30,Baldwin,1,1,1,1,0,0,0,1,0,0.150646377944237
2,Alabama,G0100050,1,50,Barbour,1,1,1,1,0,0,0,0,0,0.295868430824555
3,Alabama,G0100070,1,70,Bibb,1,1,1,1,0,0,0,0,0,0.504513884959124
4,Alabama,G0100090,1,90,Blount,1,1,1,1,0,0,0,0,0,0.025366776628019
5,Alabama,G0100110,1,110,Bullock,1,1,1,1,0,0,0,0,0,0.705896975334381
6,Alabama,G0100130,1,130,Butler,1,1,1,1,0,0,0,1,0,0.0647994819911411
7,Alabama,G0100150,1,150,Calhoun,1,1,1,1,0,0,1,1,1,0.164469343539617
8,Alabama,G0100170,1,170,Chambers,1,1,1,1,0,0,0,0,0,0.226880270538783
9,Alabama,G0100190,1,190,Cherokee,1,1,1,1,0,0,0,0,0,0.0790825298228765
10,Alabama,G0100210,1,210,Chilton,1,1,1,1,0,0,0,0,0,0.102760334655006
11,Alabama,G0100230,1,230,Choctaw,1,1,1,1,0,0,0,0,1,0.263679048461866
12,Alabama,G0100250,1,250,Clarke,1,1,1,1,0,0,0,0,1,0.275438420558931
13,Alabama,G0100270,1,270,Clay,1,1,1,1,0,0,0,0,1,0.0832851138622971
14,Alabama,G0100290,1,290,Cleburne,1,1,1,1,0,0,0,0,0,0.0146379553961709
15,Alabama,G0100310,1,310,Coffee,1,1,1,1,0,0,0,0,1,0.155526210671719
16,Alabama,G0100330,1,330,Colbert,1,1,1,1,0,0,1,0,1,0.161846993637666
17,Alabama,G0100350,1,350,Conecuh,1,1,1,1,0,0,1,0,1,0.465200663349917
18,Alabama,G0100370,1,370,Coosa,1,1,1,1,0,0,0,0,0,0.3126780410934
19,Alabama,G0100390,1,390,Covington,1,1,1,1,0,0,0,0,0,0.205046178715019
20,Alabama,G0100410,1,410,Crenshaw,1,1,1,1,0,0,0,0,0,0.238066563495457
21,Alabama,G0100430,1,430,Cullman,1,1,1,1,0,0,0,0,0,0.012452956512036
22,Alabama,G0100450,1,450,Dale,1,1,1,1,0,0,0,0,0,0.201632377332238
23,Alabama,G0100470,1,470,Dallas,1,1,1,1,0,0,0,0,1,0.233468991720899
24,Alabama,G0100490,1,490,DeKalb,1,1,1,1,0,0,0,0,0,0.421506505614643
25,Alabama,G0100510,1,510,Elmore,1,1,1,1,0,0,0,0,0,0.165152630198237
26,Alabama,G0100530,1,530,Escambia,1,1,1,1,0,0,0,0,1,0.240662197618395
27,Alabama,G0100550,1,550,Etowah,1,1,1,1,0,0,0,0,0,0.155790185349828
28,Alabama,G0100570,1,570,Fayette,1,1,1,1,0,0,0,0,0,0.126976771035943
29,Alabama,G0100590,1,590,Franklin,1,1,1,1,0,0,0,0,0,0.152922460789385
30,Alabama,G0100610,1,610,Geneva,1,1,1,1,0,0,0,0,0,0.0949168708682515
31,Alabama,G0100630,1,630,Greene,1,1,1,1,0,0,0,0,0,0.0679647775885685
32,Alabama,G0100650,1,650,Hale,1,1,1,1,0,0,0,0,0,0.217657635795884
33,Alabama,G0100670,1,670,Henry,1,1,1,1,0,0,0,0,0,0.235055156397416
34,Alabama,G0100690,1,690,Houston,1,1,1,1,0,0,1,0,0,0.266404111364933
35,Alabama,G0100710,1,710,Jackson,1,1,1,1,0,0,0,0,0,0.14354854462938
36,Alabama,G0100730,1,730,Jefferson,1,1,1,1,1,1,1,1,1,0.19649512267799
37,Alabama,G0100750,1,750,Lamar,1,1,1,1,0,0,0,0,0,0.183407291881578
38,Alabama,G0100770,1,770,Lauderdale,1,1,1,1,0,0,1,0,0,0.266014280034177
39,Alabama,G0100790,1,790,Lawrence,1,1,1,1,0,0,0,0,0,0.0398892683246368
40,Alabama,G0100810,1,810,Lee,1,1,1,1,0,0,1,0,1,0.139858960541653
41,Alabama,G0100830,1,830,Limestone,1,1,1,1,0,0,1,1,0,0.14395256123444
42,Alabama,G0100850,1,850,Lowndes,1,1,1,1,0,0,0,0,1,0.413750734306198
43,Alabama,G0100870,1,870,Macon,1,1,1,1,0,0,0,0,0,0.204559613501512
