State or Territory,Name,First Took Office,Service
Alabama,,,
AL,"TURNER, Benjamin Sterling",42nd (1871-1873),House
AL,"RAPIER, James Thomas",43rd (1873-1875),House
AL,"HARALSON, Jeremiah",44th (1875-1877),House
AL,"HILLIARD, Earl Frederick",103rd (1993-1995),House
AL,"DAVIS, Artur",108th (2003-2005),House
AL,"SEWELL, Terri",112th (2011-2013),House
California,,,
CA,"HAWKINS, Augustus Freeman (Gus)",88th (1963-1965),House
CA,"DELLUMS, Ronald V.",92nd (1971-1973),House
CA,"BURKE, Yvonne Brathwaite",93rd (1973-1975),House
CA,"DIXON, Julian Carey",96th (1979-1981),House
CA,"DYMALLY, Mervyn Malcolm",97th (1981-1983),House
CA,"WATERS, Maxine",102nd (1991-1993),House
CA,"TUCKER, Walter R., III",103rd (1993-1995),House
CA,"MILLENDER-MCDONALD, Juanita",104th (1995-1997),House
CA,"LEE, Barbara",105th (1997-1999),House
CA,"WATSON, Diane Edith",107th (2001-2003),House
CA,"RICHARDSON, Laura",110th (2007-2009),House
CA,"BASS, Karen",112th (2011-2013),House
CA,"HARRIS, Kamala Devi",115th (2017-2019),Senate
CA,"BUTLER, Laphonza Romanique",118th (2023-2025),Senate
CA,"KAMLAGER-DOVE, Sydney",118th (2023-2025),House
Colorado,,,
CO,"NEGUSE, Joseph",116th (2019-2021),House
Connecticut,,,
CT,"FRANKS, Gary A.",102nd (1991-1993),House
CT,"HAYES, Jahana",116th (2019-2021),House
Delaware,,,
DE,"BLUNT ROCHESTER, Lisa",115th (2017-2019),House
District of Columbia,,,
DC,"FAUNTROY, Walter Edward",92nd (1971-1973),House
DC,"NORTON, Eleanor Holmes",102nd (1991-1993),House
Florida,,,
FL,"WALLS, Josiah Thomas",42nd (1871-1873),House
FL,"BROWN, Corrine",103rd (1993-1995),House
FL,"HASTINGS, Alcee Lamar",103rd (1993-1995),House
FL,"MEEK, Carrie P.",103rd (1993-1995),House
FL,"MEEK, Kendrick B.",108th (2003-2005),House
FL,"WEST, Allen",112th (2011-2013),House
FL,"WILSON, Frederica",112th (2011-2013),House
FL,"DEMINGS, Valdez",115th (2017-2019),House
