"","STATE","GISJOIN","STATEICP","STATEFIPS","COUNTYFIPS","ALLCOUNTIES","gr.lra.2"
"1","Alabama","G0100010","41","1","10","Autauga",1
"2","Alabama","G0100030","41","1","30","Baldwin",1
"3","Alabama","G0100050","41","1","50","Barbour",1
"4","Alabama","G0100070","41","1","70","Bibb",1
"5","Alabama","G0100090","41","1","90","Blount",1
"6","Alabama","G0100110","41","1","110","Bullock",1
"7","Alabama","G0100130","41","1","130","Butler",1
"8","Alabama","G0100150","41","1","150","Calhoun",1
"9","Alabama","G0100170","41","1","170","Chambers",1
"10","Alabama","G0100190","41","1","190","Cherokee",1
"11","Alabama","G0100210","41","1","210","Chilton",1
"12","Alabama","G0100230","41","1","230","Choctaw",1
"13","Alabama","G0100250","41","1","250","Clarke",1
"14","Alabama","G0100270","41","1","270","Clay",1
"15","Alabama","G0100290","41","1","290","Cleburne",1
"16","Alabama","G0100310","41","1","310","Coffee",1
"17","Alabama","G0100330","41","1","330","Colbert",1
"18","Alabama","G0100350","41","1","350","Conecuh",1
"19","Alabama","G0100370","41","1","370","Coosa",1
"20","Alabama","G0100390","41","1","390","Covington",1
"21","Alabama","G0100410","41","1","410","Crenshaw",1
"22","Alabama","G0100430","41","1","430","Cullman",1
"23","Alabama","G0100450","41","1","450","Dale",1
"24","Alabama","G0100470","41","1","470","Dallas",1
"25","Alabama","G0100490","41","1","490","DeKalb",1
"26","Alabama","G0100510","41","1","510","Elmore",1
"27","Alabama","G0100530","41","1","530","Escambia",1
"28","Alabama","G0100550","41","1","550","Etowah",1
"29","Alabama","G0100570","41","1","570","Fayette",1
"30","Alabama","G0100590","41","1","590","Franklin",1
"31","Alabama","G0100610","41","1","610","Geneva",1
"32","Alabama","G0100630","41","1","630","Greene",1
"33","Alabama","G0100650","41","1","650","Hale",1
"34","Alabama","G0100670","41","1","670","Henry",1
"35","Alabama","G0100690","41","1","690","Houston",1
"36","Alabama","G0100710","41","1","710","Jackson",1
"37","Alabama","G0100730","41","1","730","Jefferson",1
"38","Alabama","G0100750","41","1","750","Lamar",1
"39","Alabama","G0100770","41","1","770","Lauderdale",1
"40","Alabama","G0100790","41","1","790","Lawrence",1
"41","Alabama","G0100810","41","1","810","Lee",1
"42","Alabama","G0100830","41","1","830","Limestone",1
"43","Alabama","G0100850","41","1","850","Lowndes",1
"44","Alabama","G0100870","41","1","870","Macon",1
"45","Alabama","G0100890","41","1","890","Madison",1
"46","Alabama","G0100910","41","1","910","Marengo",1
"47","Alabama","G0100930","41","1","930","Marion",1
"48","Alabama","G0100950","41","1","950","Marshall",1
"49","Alabama","G0100970","41","1","970","Mobile",1
"50","Alabama","G0100990","41","1","990","Monroe",1
"51","Alabama","G0101010","41","1","1010","Montgomery",1
"52","Alabama","G0101030","41","1","1030","Morgan",1
"53","Alabama","G0101050","41","1","1050","Perry",1
"54","Alabama","G0101070","41","1","1070","Pickens",1
"55","Alabama","G0101090","41","1","1090","Pike",1
"56","Alabama","G0101110","41","1","1110","Randolph",1
"57","Alabama","G0101130","41","1","1130","Russell",1
"58","Alabama","G0101170","41","1","1170","Shelby",1
"59","Alabama","G0101150","41","1","1150","St Clair",1
"60","Alabama","G0100010","41","1","1190","Sumter",1
"61","Alabama","G0100030","41","1","1210","Talladega",1
"62","Alabama","G0100050","41","1","1230","Tallapoosa",1
"63","Alabama","G0100070","41","1","1250","Tuscaloosa",1
"64","Alabama","G0100090","41","1","1270","Walker",1
"65","Alabama","G0100110","41","1","1290","Washington",1
"66","Alabama","G0100130","41","1","1310","Wilcox",1
"67","Alabama","G0100150","41","1","1330","Winston",1
"68","Alaska","G0100250","81","2","10","Aleutian Islands",1
"69","Alaska","G0100270","81","2","13","Aleutians East",1
"70","Alaska","G0100290","81","2","16","Aleutians West",1
"71","Alaska","G0100310","81","2","20","Anchorage",1
"72","Alaska","G0100330","81","2","40","Barrow",1
"73","Alaska","G0100350","81","2","50","Bethel",1
"74","Alaska","G0100370","81","2","60","Bristol Bay Borough",1
"75","Alaska","G0100390","81","2","62","Bristol Bay Division",1
"76","Alaska","G0100410","81","2","63","Chugach Census Area",1
"77","Alaska","G0100430","81","2","66","Copper River Census Area",1
"78","Alaska","G0100450","81","2","80","Cordova-McCarthy",1
"79","Alaska","G0100470","81","2","68","Denali",1
"80","Alaska","G0100490","81","2","70","Dillingham",1
"81","Alaska","G0100510","81","2","90","Fairbanks North Star",1
"82","Alaska","G0100530","81","2","100","Haines",1
"83","Alaska","G0100550","81","2","105","Hoonah-Angoon Census Area",1
"84","Alaska","G0100570","81","2","110","Juneau",1
"85","Alaska","G0100590","81","2","122","Kenai Peninsula",1
"86","Alaska","G0100610","81","2","120","Kenai-Cook Inlet",1
"87","Alaska","G0100630","81","2","130","Ketchikan Gateway",1
"88","Alaska","G0100650","81","2","140","Kobuk",1
"89","Alaska","G0100670","81","2","150","Kodiak Island",1
"90","Alaska","G0100690","81","2","158","Kusilvak Census Area",1
"91","Alaska","G0100710","81","2","160","Kuskokwim",1
"92","Alaska","G0100730","81","2","164","Lake And Peninsula",1
"93","Alaska","G0100750","81","2","170","Matanuska-Susitna",1
"94","Alaska","G0100770","81","2","180","Nome",1
"95","Alaska","G0100790","81","2","185","North Slope",1
"96","Alaska","G0100810","81","2","188","Northwest Arctic",1
"97","Alaska","G0100830","81","2","190","Outer Ketchikan",1
"98","Alaska","G0100850","81","2","195","Petersburg Borough",1
"99","Alaska","G0100870","81","2","200","Prince Of Wales",1
"100","Alaska","G0100890","81","2","198","Prince of Wales-Hyder Census Area",1
"101","Alaska","G0100910","81","2","201","Prince Of Wales-Outer Ketchikan",1
"102","Alaska","G0100930","81","2","210","Seward",1
"103","Alaska","G0100950","81","2","220","Sitka",1
"104","Alaska","G0100970","81","2","230","Skagway Municipality",1
"105","Alaska","G0100990","81","2","232","Skagway-Hoonah-Angoon",1
"106","Alaska","G0101010","81","2","231","Skagway-Yakutat-Angoon",1
"107","Alaska","G0101030","81","2","240","Southeast Fairbanks",1
"108","Alaska","G0101050","81","2","250","Upper Yukon",1
"109","Alaska","G0101070","81","2","260","Valdez-Chitina-Whittier",1
"110","Alaska","G0101090","81","2","261","Valdez-Cordova",1
"111","Alaska","G0101110","81","2","270","Wade Hampton",1
"112","Alaska","G0101130","81","2","280","Wrangell City and Borough",1
"113","Alaska","G0101150","81","2","280","Wrangell-Petersburg",1
"114","Alaska","G0101170","81","2","282","Yakutat",1
"115","Alaska","G0101190","81","2","290","Yukon-Koyukuk",1
"116","Alaska Territory","G0100170","81","2","15","First Judicial Dist",1
"117","Alaska Territory","G0100190","81","2","35","Fourth Judicial Dist",1
"118","Alaska Territory","G0100210","81","2","75","Second Judicial Dist",1
"119","Alaska Territory","G0100230","81","2","115","Third Judicial Dist",1
"120","Arizona","G0101210","61","4","10","Apache",1
"121","Arizona","G0101230","61","4","30","Cochise",1
"122","Arizona","G0101250","61","4","50","Coconino",1
"123","Arizona","G0101270","61","4","70","Gila",1
"124","Arizona","G0101290","61","4","90","Graham",1
"125","Arizona","G0101310","61","4","110","Greenlee",1
"126","Arizona","G0101330",NA,"4","120","La Paz",1
"127","Arizona","G0250015","61","4","130","Maricopa",1
"128","Arizona","G0250035","61","4","150","Mohave",1
"129","Arizona","G0250075","61","4","170","Navajo",1
"130","Arizona","G0250115","61","4","190","Pima",1
"131","Arizona","G0200100","61","4","210","Pinal",1
"132","Arizona","G0200130","61","4","230","Santa Cruz",1
