#,Judge,District,"Began active
service","Ended active
service","Ended senior
status","Reason for
termination",Appointed by
1,James Benton Parsons,N.D. Ill.,"August 30, 1961","August 30, 1981","June 19, 1993",death,Kennedy
2,Wade H. McCree,E.D. Mich.,"September 29, 1961","September 13, 1966",—,elevation to Sixth Circuit,Kennedy
3,Spottswood W. Robinson III,D.D.C.,"January 6, 1964","November 8, 1966",—,elevation to D.C. Circuit,Johnson
4,A. Leon Higginbotham Jr.,E.D. Pa.,"March 17, 1964","November 7, 1977",—,elevation to Third Circuit,Johnson
5,William B. Bryant,D.D.C.,"August 11, 1965","January 31, 1982","November 13, 2005",death,Johnson
6,Constance Baker Motley,S.D.N.Y.,"August 30, 1966","September 26, 1986","September 28, 2005",death,Johnson
7,Aubrey E. Robinson Jr.,D.D.C.,"November 3, 1966","March 1, 1992","February 27, 2000",death,Johnson
8,Joseph Cornelius Waddy,D.D.C.,"March 4, 1967","August 1, 1978",—,death,Johnson
9,Damon Keith,E.D. Mich.,"October 12, 1967","November 22, 1977",—,elevation to Sixth Circuit,Johnson
10,David W. Williams,C.D. Cal.,"June 20, 1969","January 17, 1981","May 6, 2000",death,Nixon
11,Barrington D. Parker,D.D.C.,"December 19, 1969","December 19, 1985","June 2, 1993",death,Nixon
12,Lawrence W. Pierce,S.D.N.Y.,"May 20, 1971","November 30, 1981",—,elevation to Second Circuit,Nixon
13,Clifford Scott Green,E.D. Pa.,"December 9, 1971","April 2, 1988","May 31, 2007",death,Nixon
14,Robert L. Carter,S.D.N.Y.,"July 25, 1972","December 31, 1986","January 3, 2012",death,Nixon
15,Robert Morton Duncan,S.D. Ohio,"June 20, 1974","April 15, 1985",—,resignation,Nixon
16,Henry Bramwell,E.D.N.Y.,"December 26, 1974","October 1, 1987","May 28, 2010",death,Ford
17,George N. Leighton,N.D. Ill.,"February 4, 1976","February 27, 1986","December 1, 1987",retirement,Ford
18,Cecil F. Poole,N.D. Cal.,"July 23, 1976","March 31, 1980",—,elevation to Ninth Circuit,Ford
19,Paul Allen Simmons,W.D. Pa.,"April 7, 1978","June 1, 1990","October 9, 2014",death,Carter
20,Robert Frederick Collins,E.D. La.,"May 19, 1978","August 6, 1993",—,resignation,Carter
21,Jack Edward Tanner,E.D. Wash.,"May 19, 1978","November 8, 1978",—,seat abolished,Carter
21,Jack Edward Tanner,W.D. Wash.,"May 19, 1978","January 28, 1991","January 10, 2006",death,Carter
22,Mary Johnson Lowe,S.D.N.Y.,"June 27, 1978","July 27, 1991","February 27, 1999",death,Carter
23,Julian A. Cook,E.D. Mich.,"September 23, 1978","December 30, 1996","May 16, 2017",death,Carter
24,David Sutherland Nelson,D. Mass.,"March 23, 1979","September 27, 1991","October 21, 1998",death,Carter
25,John Garrett Penn,D.D.C.,"March 23, 1979","March 31, 1998","September 9, 2007",death,Carter
26,Gabrielle Kirk McDonald,S.D. Tex.,"May 11, 1979","August 14, 1988",—,resignation,Carter
27,Matthew J. Perry,D.S.C.,"September 20, 1979","October 1, 1995","July 29, 2011",death,Carter
28,Benjamin F. Gibson,W.D. Mich.,"September 26, 1979","July 13, 1996","January 31, 1999",retirement,Carter
29,Joseph C. Howard Sr.,D. Md.,"October 5, 1979","November 15, 1991","September 16, 2000",death,Carter
30,Alcee Hastings,S.D. Fla.,"November 2, 1979","October 20, 1989",—,impeachment and removal,Carter
31,Anna Diggs Taylor,E.D. Mich.,"November 2, 1979","December 31, 1998","November 4, 2017",death,Carter
32,Anne Elise Thompson,D.N.J.,"November 2, 1979","June 1, 2001",Incumbent,—,Carter
33,James T. Giles,E.D. Pa.,"November 27, 1979","February 11, 2008","October 3, 2008",retirement,Carter
34,Horace Ward,N.D. Ga.,"December 6, 1979","December 31, 1993","April 23, 2016",death,Carter
35,Terry J. Hatter Jr.,C.D. Cal.,"December 20, 1979","April 22, 2005",Incumbent,—,Carter
36,Odell Horton,W.D. Tenn.,"May 12, 1980","May 16, 1995","February 22, 2006",death,Carter
37,Norma Holloway Johnson,D.D.C.,"May 12, 1980","June 18, 2001","December 31, 2003",retirement,Carter
38,Clyde S. Cahill Jr.,E.D. Mo.,"May 23, 1980","April 9, 1992","August 18, 2004",death,Carter
39,George Washington White,N.D. Ohio,"May 23, 1980","February 26, 1999","November 12, 2011",death,Carter
40,U. W. Clemon,N.D. Ala.,"June 30, 1980","January 31, 2009",—,resignation,Carter
41,Thelton Henderson,N.D. Cal.,"June 30, 1980","November 28, 1998",Incumbent,—,Carter
42,Earl Ben Gilliam,S.D. Cal.,"August 20, 1980","April 2, 1993","January 28, 2001",death,Carter
43,Myron Herbert Thompson,M.D. Ala.,"September 29, 1980","August 22, 2013",Incumbent,—,Carter
44,Richard Erwin,M.D.N.C.,"September 30, 1980","September 22, 1992","November 7, 2006",death,Carter
45,George Howard Jr.,E.D. Ark.,"September 30, 1980","April 21, 2007",—,death,Carter
45,George Howard Jr.,W.D. Ark.,"September 30, 1980","December 1, 1990",—,seat abolished,Carter
46,Consuelo Bland Marshall,C.D. Cal.,"September 30, 1980","October 24, 2005",Incumbent,—,Carter
47,John R. Hargrove Sr.,D. Md.,"February 10, 1984","February 21, 1994","April 1, 1997",death,Reagan
48,Ann Claire Williams,N.D. Ill.,"April 4, 1985","November 7, 1999",—,elevation to Seventh Circuit,Reagan
49,Henry Travillion Wingate,S.D. Miss.,"October 17, 1985",Incumbent,—,—,Reagan
50,James R. Spencer,E.D. Va.,"October 14, 1986","March 25, 2014","June 2, 2017",retirement,Reagan
51,Kenneth M. Hoyt,S.D. Tex.,"April 1, 1988","March 2, 2013",Incumbent,—,Reagan
52,Herbert J. Hutton,E.D. Pa.,"August 12, 1988","September 6, 2003","April 8, 2007",death,Reagan
53,James Ware,N.D. Cal.,"October 1, 1990","August 31, 2012",—,resignation,G. H. W. Bush
54,Saundra Brown Armstrong,N.D. Cal.,"June 18, 1991","March 23, 2012",Incumbent,—,G. H. W. Bush
55,Timothy K. Lewis,W.D. Pa.,"June 18, 1991","October 23, 1992",—,elevation to Third Circuit,G. H. W. Bush
56,Sterling Johnson Jr.,E.D.N.Y.,"July 2, 1991","June 1, 2003","October 10, 2022",death,G. H. W. Bush
57,Fernando J. Gaitan Jr.,W.D. Mo.,"August 2, 1991","June 3, 2014",Incumbent,—,G. H. W. Bush
58,Donald L. Graham,S.D. Fla.,"September 16, 1991","December 15, 2013",Incumbent,—,G. H. W. Bush
59,Joe Billy McDade,C.D. Ill.,"November 25, 1991","February 28, 2010",Incumbent,—,G. H. W. Bush
60,Garland E. Burrell Jr.,E.D. Cal.,"March 2, 1992","July 4, 2012",Incumbent,—,G. H. W. Bush
61,J. Curtis Joyner,E.D. Pa.,"April 13, 1992","May 1, 2013","September 15, 2021",retirement,G. H. W. Bush
62,Carol E. Jackson,E.D. Mo.,"August 17, 1992","August 31, 2017",—,resignation,G. H. W. Bush
63,Wilkie D. Ferguson,S.D. Fla.,"November 22, 1993","June 9, 2003",—,death,Clinton
64,Raymond Alvin Jackson,E.D. Va.,"November 22, 1993","November 23, 2021",Incumbent,—,Clinton
65,Charles Alexander Shaw,E.D. Mo.,"November 22, 1993","December 31, 2009","April 12, 2020",death,Clinton
66,Henry Lee Adams Jr.,M.D. Fla.,"November 24, 1993","April 8, 2010",Incumbent,—,Clinton
67,Gary L. Lancaster,W.D. Pa.,"November 24, 1993","April 13, 2013",—,death,Clinton
68,Reginald C. Lindsay,D. Mass.,"November 24, 1993","March 12, 2009",—,death,Clinton
69,Frank Burgess,W.D. Wash.,"March 28, 1994","March 9, 2005","March 26, 2010",death,Clinton
70,Michael J. Davis,D. Minn.,"March 28, 1994","August 1, 2015",Incumbent,—,Clinton
71,Ancer L. Haggerty,D. Ore.,"March 28, 1994","August 26, 2009",Incumbent,—,Clinton
72,Deborah Batts,S.D.N.Y.,"May 9, 1994","April 13, 2012","February 3, 2020",death,Clinton
73,Audrey B. Collins,C.D. Cal.,"May 9, 1994","August 1, 2014",—,resignation,Clinton
74,Clarence Cooper,N.D. Ga.,"May 9, 1994","February 9, 2009",Incumbent,—,Clinton
75,Solomon Oliver Jr.,N.D. Ohio,"May 9, 1994","February 15, 2021",Incumbent,—,Clinton
76,Willie Louis Sands,M.D. Ga.,"May 9, 1994","April 12, 2014",Incumbent,—,Clinton
77,Vanessa Gilmore,S.D. Tex.,"June 9, 1994","January 2, 2022",—,retirement,Clinton
78,Denise Page Hood,E.D. Mich.,"June 16, 1994","May 1, 2022",Incumbent,—,Clinton
79,Emmet G. Sullivan,D.D.C.,"June 16, 1994","April 3, 2021",Incumbent,—,Clinton
80,Blanche M. Manning,N.D. Ill.,"August 10, 1994","February 1, 2010","September 20, 2020",death,Clinton
81,Alexander Williams Jr.,D. Md.,"August 18, 1994","May 8, 2013","January 3, 2014",retirement,Clinton
82,Napoleon A. Jones Jr.,S.D. Cal.,"September 15, 1994","September 19, 2007","December 12, 2009",death,Clinton
83,Barrington D. Parker Jr.,S.D.N.Y.,"September 15, 1994","October 18, 2001",—,elevation to Second Circuit,Clinton
84,David H. Coar,N.D. Ill.,"October 7, 1994","August 12, 2009","December 31, 2010",retirement,Clinton
85,James A. Beaty Jr.,M.D.N.C.,"October 11, 1994","June 30, 2014","January 31, 2018",retirement,Clinton
86,Okla Jones II,E.D. La.,"October 11, 1994","January 8, 1996",—,death,Clinton
87,Alvin W. Thompson,D. Conn.,"October 11, 1994","August 31, 2018",Incumbent,—,Clinton
88,William H. Walls,D.N.J.,"October 11, 1994","January 31, 2005","July 11, 2019",death,Clinton
89,Vicki Miles-LaGrange,W.D. Okla.,"November 28, 1994","November 5, 2018",Incumbent,—,Clinton
90,Curtis Lynn Collier,E.D. Tenn.,"May 10, 1995","October 31, 2014",Incumbent,—,Clinton
91,Wiley Young Daniel,D. Colo.,"June 30, 1995","January 1, 2013","May 10, 2019",death,Clinton
92,Andre M. Davis,D. Md.,"August 14, 1995","November 12, 2009",—,elevation to Fourth Circuit,Clinton
93,Bernice B. Donald,W.D. Tenn.,"December 26, 1995","September 8, 2011",retirement,elevation to Sixth Circuit,Clinton
94,Joseph A. Greenaway Jr.,D.N.J.,"July 26, 1996","February 24, 2010",—,elevation to Third Circuit,Clinton
95,Charles N. Clevert Jr.,E.D. Wis.,"July 29, 1996","October 31, 2012","May 31, 2017",retirement,Clinton
96,Henry H. Kennedy Jr.,D.D.C.,"September 18, 1997","November 18, 2011",Incumbent,—,Clinton
97,Algenon L. Marbley,S.D. Ohio,"November 7, 1997",Incumbent,—,—,Clinton
98,Martin Jenkins,N.D. Cal.,"November 12, 1997","April 3, 2008",—,resignation,Clinton
99,Sam A. Lindsay,N.D. Tex.,"March 17, 1998",Incumbent,—,—,Clinton
100,Johnnie B. Rawlinson,D. Nev.,"April 7, 1998","July 26, 2000",—,elevation to Ninth Circuit,Clinton
101,Ivan L. R. Lemelle,E.D. La.,"April 7, 1998","June 29, 2015",Incumbent,—,Clinton
102,Gregory M. Sleet,D. Del.,"April 30, 1998","May 1, 2017","September 28, 2018",retirement,Clinton
103,Stephan P. Mickle,N.D. Fla.,"May 22, 1998","June 22, 2011","January 26, 2021",death,Clinton
104,Richard W. Roberts,D.D.C.,"June 23, 1998","March 16, 2016",Incumbent,—,Clinton
105,Victoria A. Roberts,E.D. Mich.,"June 29, 1998","February 24, 2021","September 1, 2023",retirement,Clinton
106,Raner Collins,D. Ariz.,"August 3, 1998","March 4, 2019",Incumbent,—,Clinton
107,Ralph E. Tyson,M.D. La.,"August 3, 1998","July 18, 2011",—,death,Clinton
