,STATE,GISJOIN,STATEICP,STATEFIPS,COUNTYFIPS,ALLCOUNTIES,EPLRA2
0,Alabama,G0100010,41,1,10,Autauga,0
1,Alabama,G0100030,41,1,30,Baldwin,1
2,Alabama,G0100050,41,1,50,Barbour,0
3,Alabama,G0100070,41,1,70,Bibb,0
4,Alabama,G0100090,41,1,90,Blount,0
5,Alabama,G0100110,41,1,110,Bullock,0
6,Alabama,G0100130,41,1,130,Butler,1
7,Alabama,G0100150,41,1,150,Calhoun,1
8,Alabama,G0100170,41,1,170,Chambers,0
9,Alabama,G0100190,41,1,190,Cherokee,0
10,Alabama,G0100210,41,1,210,Chilton,0
11,Alabama,G0100230,41,1,230,Choctaw,0
12,Alabama,G0100250,41,1,250,Clarke,0
13,Alabama,G0100270,41,1,270,Clay,0
14,Alabama,G0100290,41,1,290,Cleburne,0
15,Alabama,G0100310,41,1,310,Coffee,0
16,Alabama,G0100330,41,1,330,Colbert,0
17,Alabama,G0100350,41,1,350,Conecuh,0
18,Alabama,G0100370,41,1,370,Coosa,0
19,Alabama,G0100390,41,1,390,Covington,0
20,Alabama,G0100410,41,1,410,Crenshaw,0
21,Alabama,G0100430,41,1,430,Cullman,0
22,Alabama,G0100450,41,1,450,Dale,0
23,Alabama,G0100470,41,1,470,Dallas,0
24,Alabama,G0100490,41,1,490,DeKalb,0
25,Alabama,G0100510,41,1,510,Elmore,0
26,Alabama,G0100530,41,1,530,Escambia,0
27,Alabama,G0100550,41,1,550,Etowah,0
28,Alabama,G0100570,41,1,570,Fayette,0
29,Alabama,G0100590,41,1,590,Franklin,0
30,Alabama,G0100610,41,1,610,Geneva,0
31,Alabama,G0100630,41,1,630,Greene,0
32,Alabama,G0100650,41,1,650,Hale,0
33,Alabama,G0100670,41,1,670,Henry,0
34,Alabama,G0100690,41,1,690,Houston,0
35,Alabama,G0100710,41,1,710,Jackson,0
36,Alabama,G0100730,41,1,730,Jefferson,1
37,Alabama,G0100750,41,1,750,Lamar,0
38,Alabama,G0100770,41,1,770,Lauderdale,0
39,Alabama,G0100790,41,1,790,Lawrence,0
40,Alabama,G0100810,41,1,810,Lee,0
41,Alabama,G0100830,41,1,830,Limestone,1
42,Alabama,G0100850,41,1,850,Lowndes,0
43,Alabama,G0100870,41,1,870,Macon,0
44,Alabama,G0100890,41,1,890,Madison,1
45,Alabama,G0100910,41,1,910,Marengo,0
46,Alabama,G0100930,41,1,930,Marion,0
47,Alabama,G0100950,41,1,950,Marshall,0
48,Alabama,G0100970,41,1,970,Mobile,1
49,Alabama,G0100990,41,1,990,Monroe,0
50,Alabama,G0101010,41,1,1010,Montgomery,1
51,Alabama,G0101030,41,1,1030,Morgan,0
52,Alabama,G0101050,41,1,1050,Perry,0
53,Alabama,G0101070,41,1,1070,Pickens,0
54,Alabama,G0101090,41,1,1090,Pike,0
55,Alabama,G0101110,41,1,1110,Randolph,0
56,Alabama,G0101130,41,1,1130,Russell,0
57,Alabama,G0101170,41,1,1170,Shelby,0
58,Alabama,G0101150,41,1,1150,St Clair,0
59,Alabama,G0100010,41,1,1190,Sumter,0
60,Alabama,G0100030,41,1,1210,Talladega,1
61,Alabama,G0100050,41,1,1230,Tallapoosa,0
62,Alabama,G0100070,41,1,1250,Tuscaloosa,0
63,Alabama,G0100090,41,1,1270,Walker,0
64,Alabama,G0100110,41,1,1290,Washington,1
65,Alabama,G0100130,41,1,1310,Wilcox,0
66,Alabama,G0100150,41,1,1330,Winston,0
67,Alaska,G0100250,81,2,10,Aleutian Islands,0
68,Alaska,G0100270,81,2,13,Aleutians East,0
69,Alaska,G0100290,81,2,16,Aleutians West,0
70,Alaska,G0100310,81,2,20,Anchorage,0
71,Alaska,G0100330,81,2,40,Barrow,0
72,Alaska,G0100350,81,2,50,Bethel,0
73,Alaska,G0100370,81,2,60,Bristol Bay Borough,0
74,Alaska,G0100390,81,2,62,Bristol Bay Division,0
75,Alaska,G0100410,81,2,63,Chugach Census Area,0
76,Alaska,G0100430,81,2,66,Copper River Census Area,0
77,Alaska,G0100450,81,2,80,Cordova-McCarthy,0
78,Alaska,G0100470,81,2,68,Denali,0
79,Alaska,G0100490,81,2,70,Dillingham,0
80,Alaska,G0100510,81,2,90,Fairbanks North Star,0
81,Alaska,G0100530,81,2,100,Haines,0
82,Alaska,G0100550,81,2,105,Hoonah-Angoon Census Area,0
83,Alaska,G0100570,81,2,110,Juneau,0
84,Alaska,G0100590,81,2,122,Kenai Peninsula,0
85,Alaska,G0100610,81,2,120,Kenai-Cook Inlet,0
86,Alaska,G0100630,81,2,130,Ketchikan Gateway,0
87,Alaska,G0100650,81,2,140,Kobuk,0
88,Alaska,G0100670,81,2,150,Kodiak Island,0
89,Alaska,G0100690,81,2,158,Kusilvak Census Area,0
90,Alaska,G0100710,81,2,160,Kuskokwim,0
91,Alaska,G0100730,81,2,164,Lake And Peninsula,0
92,Alaska,G0100750,81,2,170,Matanuska-Susitna,0
93,Alaska,G0100770,81,2,180,Nome,0
94,Alaska,G0100790,81,2,185,North Slope,0
95,Alaska,G0100810,81,2,188,Northwest Arctic,0
96,Alaska,G0100830,81,2,190,Outer Ketchikan,0
97,Alaska,G0100850,81,2,195,Petersburg Borough,0
98,Alaska,G0100870,81,2,200,Prince Of Wales,0
99,Alaska,G0100890,81,2,198,Prince of Wales-Hyder Census Area,0
100,Alaska,G0100910,81,2,201,Prince Of Wales-Outer Ketchikan,0
101,Alaska,G0100930,81,2,210,Seward,0
102,Alaska,G0100950,81,2,220,Sitka,0
103,Alaska,G0100970,81,2,230,Skagway Municipality,0
104,Alaska,G0100990,81,2,232,Skagway-Hoonah-Angoon,0
105,Alaska,G0101010,81,2,231,Skagway-Yakutat-Angoon,0
106,Alaska,G0101030,81,2,240,Southeast Fairbanks,0
107,Alaska,G0101050,81,2,250,Upper Yukon,0
108,Alaska,G0101070,81,2,260,Valdez-Chitina-Whittier,0
109,Alaska,G0101090,81,2,261,Valdez-Cordova,0
110,Alaska,G0101110,81,2,270,Wade Hampton,0
111,Alaska,G0101130,81,2,280,Wrangell City and Borough,0
112,Alaska,G0101150,81,2,280,Wrangell-Petersburg,0
113,Alaska,G0101170,81,2,282,Yakutat,0
114,Alaska,G0101190,81,2,290,Yukon-Koyukuk,0
115,Alaska Territory,G0100170,81,2,15,First Judicial Dist,0
116,Alaska Territory,G0100190,81,2,35,Fourth Judicial Dist,0
117,Alaska Territory,G0100210,81,2,75,Second Judicial Dist,0
118,Alaska Territory,G0100230,81,2,115,Third Judicial Dist,0
119,Arizona,G0101210,61,4,10,Apache,0
120,Arizona,G0101230,61,4,30,Cochise,0
121,Arizona,G0101250,61,4,50,Coconino,0
122,Arizona,G0101270,61,4,70,Gila,0
123,Arizona,G0101290,61,4,90,Graham,0
124,Arizona,G0101310,61,4,110,Greenlee,0
125,Arizona,G0101330,,4,120,La Paz,0
126,Arizona,G0250015,61,4,130,Maricopa,1
127,Arizona,G0250035,61,4,150,Mohave,0
128,Arizona,G0250075,61,4,170,Navajo,0
129,Arizona,G0250115,61,4,190,Pima,0
130,Arizona,G0200100,61,4,210,Pinal,0
131,Arizona,G0200130,61,4,230,Santa Cruz,0
132,Arizona,G0200160,61,4,250,Yavapai,0
133,Arizona,G0200200,61,4,270,Yuma,0
134,Arkansas,G0200400,42,5,10,Arkansas,0
135,Arkansas,G0200500,42,5,30,Ashley,0
136,Arkansas,G0200600,42,5,50,Baxter,0
137,Arkansas,G0200620,42,5,70,Benton,0
138,Arkansas,G0200630,42,5,90,Boone,0
139,Arkansas,G0200660,42,5,110,Bradley,0
140,Arkansas,G0200800,42,5,130,Calhoun,0
141,Arkansas,G0200680,42,5,150,Carroll,0
142,Arkansas,G0200700,42,5,170,Chicot,0
