"","Newspaper","City","State","Year","County","Full_State","GISJOIN","STATEICP","STATEFIPS","COUNTYFIPS","VARIABLE NAME"
"1","The Black Republican","New Orleans","LA",1865,"Orleans","Louisiana","G2101930","45","22","710",NA
"2","Black Republican and Office-Holder's Journal","New York","NY",1865,"New York","New York","G3500070","13","36","610",NA
"3","The Christian Recorder","Philadelphia","PA",1865,"Philadelphia","Pennsylvania","G4100550","14","42","1010",NA
"4","The Christian Recorder","Philadelphia","PA",1866,"Philadelphia","Pennsylvania","G4100550","14","42","1010",NA
"5","The Christian Recorder","Philadelphia","PA",1867,"Philadelphia","Pennsylvania","G4100550","14","42","1010",NA
"6","The Christian Recorder","Philadelphia","PA",1868,"Philadelphia","Pennsylvania","G4100550","14","42","1010",NA
"7","The Christian Recorder","Philadelphia","PA",1869,"Philadelphia","Pennsylvania","G4100550","14","42","1010",NA
"8","The Christian Recorder","Philadelphia","PA",1870,"Philadelphia","Pennsylvania","G4100550","14","42","1010",NA
"9","The Christian Recorder","Philadelphia","PA",1883,"Philadelphia","Pennsylvania","G4100550","14","42","1010",NA
"10","The Christian Recorder","Philadelphia","PA",1884,"Philadelphia","Pennsylvania","G4100550","14","42","1010",NA
"11","The Christian Recorder","Philadelphia","PA",1885,"Philadelphia","Pennsylvania","G4100550","14","42","1010",NA
"12","The Christian Recorder","Philadelphia","PA",1886,"Philadelphia","Pennsylvania","G4100550","14","42","1010",NA
"13","The Christian Recorder","Philadelphia","PA",1894,"Philadelphia","Pennsylvania","G4100550","14","42","1010",NA
"14","The Christian Recorder","Philadelphia","PA",1895,"Philadelphia","Pennsylvania","G4100550","14","42","1010",NA
"15","The Colored Tennessean","Nashville","TN",1865,"Davidson","Tennessee","G4600590","54","47","370",NA
"16","The Colored Tennessean","Nashville","TN",1866,"Davidson","Tennessee","G4600590","54","47","370",NA
"17","The Elevator","San Francisco","CA",1865,"San Francisco","California","G0501070","71","6","750",NA
"18","The Elevator","San Francisco","CA",1875,"San Francisco","California","G0501070","71","6","750",NA
"19","The Elevator","San Francisco","CA",1881,"San Francisco","California","G0501070","71","6","750",NA
"20","The Elevator","San Francisco","CA",1885,"San Francisco","California","G0501070","71","6","750",NA
"21","The Elevator","San Francisco","CA",1886,"San Francisco","California","G0501070","71","6","750",NA
"22","The Elevator","San Francisco","CA",1890,"San Francisco","California","G0501070","71","6","750",NA
"23","The Elevator","San Francisco","CA",1892,"San Francisco","California","G0501070","71","6","750",NA
"24","The Elevator","San Francisco","CA",1898,"San Francisco","California","G0501070","71","6","750",NA
"25","The Pacific Appeal","San Francisco","CA",1865,"San Francisco","California","G0501070","71","6","750",NA
"26","The Pacific Appeal","San Francisco","CA",1866,"San Francisco","California","G0501070","71","6","750",NA
"27","The Pacific Appeal","San Francisco","CA",1876,"San Francisco","California","G0501070","71","6","750",NA
"28","The Pacific Appeal","San Francisco","CA",1868,"San Francisco","California","G0501070","71","6","750",NA
"29","The Pacific Appeal","San Francisco","CA",1870,"San Francisco","California","G0501070","71","6","750",NA
"30","The Pacific Appeal","San Francisco","CA",1871,"San Francisco","California","G0501070","71","6","750",NA
"31","The Pacific Appeal","San Francisco","CA",1872,"San Francisco","California","G0501070","71","6","750",NA
"32","The Pacific Appeal","San Francisco","CA",1873,"San Francisco","California","G0501070","71","6","750",NA
"33","The Pacific Appeal","San Francisco","CA",1874,"San Francisco","California","G0501070","71","6","750",NA
"34","The Pacific Appeal","San Francisco","CA",1875,"San Francisco","California","G0501070","71","6","750",NA
"35","The Pacific Appeal","San Francisco","CA",1878,"San Francisco","California","G0501070","71","6","750",NA
"36","The Pacific Appeal","San Francisco","CA",1879,"San Francisco","California","G0501070","71","6","750",NA
"37","The Pacific Appeal","San Francisco","CA",1880,"San Francisco","California","G0501070","71","6","750",NA
"38","The True Southerner","Hampton","VA",1865,"Elizabeth City","Virginia","G4900430","40","51","550",NA
"39","The True Southerner","Hampton","VA",1866,"Elizabeth City","Virginia","G4900430","40","51","550",NA
"40","The Arkansas Freeman","Little Rock","AR",1869,"Pulaski","Arkansas","G0500010","42","5","1190",NA
"41","The Charleston Advocate","Charleston","SC",1867,"Charleston","South Carolina","G4200450","48","45","190",NA
"42","The Charleston Advocate","Charleston","SC",1868,"Charleston","South Carolina","G4200450","48","45","190",NA
"43","The Colored Citizen","Cincinnati","OH",1866,"Hamilton","Ohio","G3800490","24","39","610",NA
"44","The Colored Tribune","Savannah","GA",1876,"Chatham","Georgia","G1200690","44","13","510",NA
"45","The Concordia Eagle","Vidalia","LA",1875,"Concordia","Louisiana","G2101510","45","22","290",NA
"46","The Concordia Eagle","Vidalia","LA",1877,"Concordia","Louisiana","G2101510","45","22","290",NA
"47","The Concordia Eagle","Vidalia","LA",1879,"Concordia","Louisiana","G2101510","45","22","290",NA
"48","The Concordia Eagle","Vidalia","LA",1880,"Concordia","Louisiana","G2101510","45","22","290",NA
"49","The Concordia Eagle","Vidalia","LA",1881,"Concordia","Louisiana","G2101510","45","22","290",NA
"50","The Concordia Eagle","Vidalia","LA",1882,"Concordia","Louisiana","G2101510","45","22","290",NA
"51","The Concordia Eagle","Vidalia","LA",1883,"Concordia","Louisiana","G2101510","45","22","290",NA
"52","The Concordia Eagle","Vidalia","LA",1884,"Concordia","Louisiana","G2101510","45","22","290",NA
"53","The Concordia Eagle","Vidalia","LA",1885,"Concordia","Louisiana","G2101510","45","22","290",NA
"54","The Echo","St. Martinsville","LA",1873,"St Martin","Louisiana","G2102210","45","22","990",NA
"55","The Educator","Fayetteville","NC",1874,"Cumberland","North Carolina","G3600570","47","37","510",NA
"56","The Educator","Fayetteville","NC",1875,"Cumberland","North Carolina","G3600570","47","37","510",NA
"57","The Elevator","San Francisco","CA",1866,"San Francisco","California","G0501070","71","6","750",NA
"58","The Elevator","San Francisco","CA",1867,"San Francisco","California","G0501070","71","6","750",NA
"59","The Elevator","San Francisco","CA",1868,"San Francisco","California","G0501070","71","6","750",NA
"60","The Elevator","San Francisco","CA",1869,"San Francisco","California","G0501070","71","6","750",NA
"61","The Elevator","San Francisco","CA",1870,"San Francisco","California","G0501070","71","6","750",NA
"62","The Elevator","San Francisco","CA",1871,"San Francisco","California","G0501070","71","6","750",NA
"63","The Elevator","San Francisco","CA",1872,"San Francisco","California","G0501070","71","6","750",NA
"64","The Elevator","San Francisco","CA",1873,"San Francisco","California","G0501070","71","6","750",NA
"65","The Elevator","San Francisco","CA",1874,"San Francisco","California","G0501070","71","6","750",NA
"66","The Free Citizen","Orangeburg","SC",1875,"Orangeburg","South Carolina","G4201010","48","45","750",NA
"67","The Free Citizen","Orangeburg","SC",1876,"Orangeburg","South Carolina","G4201010","48","45","750",NA
"68","The Free Press","Charleston","SC",1868,"Charleston","South Carolina","G4200450","48","45","190",NA
"69","The Free man's Press","Austin","TX",1868,"Travis","Texas","G4803350","49","48","4530",NA
"70","The Freedman's Press","Austin","TX",1868,"Travis","Texas","G4803350","49","48","4530",NA
"71","The Georgetown Planet","Georgetown","SC",1873,"Georgetown","South Carolina","G4200690","48","45","430",NA
"72","The Louisianian","New Orleans","LA",1870,"Orleans","Louisiana","G2101930","45","22","710",NA
"73","The Louisianian","New Orleans","LA",1871,"Orleans","Louisiana","G2101930","45","22","710",NA
"74","Maryville Republican","Maryville","TN",1867,"Blount","Tennessee","G4600310","54","47","90",NA
"75","Maryville Republican","Maryville","TN",1868,"Blount","Tennessee","G4600310","54","47","90",NA
"76","Maryville Republican","Maryville","TN",1869,"Blount","Tennessee","G4600310","54","47","90",NA
"77","Maryville Republican","Maryville","TN",1870,"Blount","Tennessee","G4600310","54","47","90",NA
"78","Maryville Republican","Maryville","TN",1876,"Blount","Tennessee","G4600310","54","47","90",NA
"79","Maryville Republican","Maryville","TN",1877,"Blount","Tennessee","G4600310","54","47","90",NA
"80","Missionary Record","Charleston","SC",1873,"Charleston","South Carolina","G4200450","48","45","190",NA
"81","Missionary Record","Charleston","SC",1876,"Charleston","South Carolina","G4200450","48","45","190",NA
"82","National Savings Bank","Washington","DC",1868,"District Of Columbia","District of Columbia",NA,NA,NA,NA,NA
"83","New Era","Washington","DC",1870,"District Of Columbia","District of Columbia",NA,NA,NA,NA,NA
"84","New National Era","Washington","DC",1870,"District Of Columbia","District of Columbia",NA,NA,NA,NA,NA
"85","New National Era","Washington","DC",1871,"District Of Columbia","District of Columbia",NA,NA,NA,NA,NA
"86","New National Era","Washington","DC",1872,"District Of Columbia","District of Columbia",NA,NA,NA,NA,NA
"87","New National Era","Washington","DC",1873,"District Of Columbia","District of Columbia",NA,NA,NA,NA,NA
"88","New National Era","Washington","DC",1874,"District Of Columbia","District of Columbia",NA,NA,NA,NA,NA
"89","The Pacific Appeal","San Francisco","CA",1867,"San Francisco","California","G0501070","71","6","750",NA
"90","The Republican","Maryville","TN",1873,"Blount","Tennessee","G4600310","54","47","90",NA
"91","The Republican","Maryville","TN",1874,"Blount","Tennessee","G4600310","54","47","90",NA
"92","The Republican","Maryville","TN",1875,"Blount","Tennessee","G4600310","54","47","90",NA
"93","Semi-Weekly Louisianian","New Orleans","LA",1871,"Orleans","Louisiana","G2101930","45","22","710",NA
"94","Semi-Weekly Louisianian","New Orleans","LA",1872,"Orleans","Louisiana","G2101930","45","22","710",NA
