"","STATE","GISJOIN","STATEICP","STATEFIPS","COUNTYFIPS","ALLCOUNTIES","VARIABLE NAME","MM.LRA1"
"1","Alabama","G0100010","41","1","10","Autauga",NA,"1"
"2","Alabama","G0100030","41","1","30","Baldwin",NA,"1"
"3","Alabama","G0100050","41","1","50","Barbour",NA,"1"
"4","Alabama","G0100070","41","1","70","Bibb",NA,"1"
"5","Alabama","G0100090","41","1","90","Blount",NA,"1"
"6","Alabama","G0100110","41","1","110","Bullock",NA,"1"
"7","Alabama","G0100130","41","1","130","Butler",NA,"1"
"8","Alabama","G0100150","41","1","150","Calhoun",NA,"1"
"9","Alabama","G0100170","41","1","170","Chambers",NA,"1"
"10","Alabama","G0100190","41","1","190","Cherokee",NA,"1"
"11","Alabama","G0100210","41","1","210","Chilton",NA,"1"
"12","Alabama","G0100230","41","1","230","Choctaw",NA,"1"
"13","Alabama","G0100250","41","1","250","Clarke",NA,"1"
"14","Alabama","G0100270","41","1","270","Clay",NA,"1"
"15","Alabama","G0100290","41","1","290","Cleburne",NA,"1"
"16","Alabama","G0100310","41","1","310","Coffee",NA,"1"
"17","Alabama","G0100330","41","1","330","Colbert",NA,"1"
"18","Alabama","G0100350","41","1","350","Conecuh",NA,"1"
"19","Alabama","G0100370","41","1","370","Coosa",NA,"1"
"20","Alabama","G0100390","41","1","390","Covington",NA,"1"
"21","Alabama","G0100410","41","1","410","Crenshaw",NA,"1"
"22","Alabama","G0100430","41","1","430","Cullman",NA,"1"
"23","Alabama","G0100450","41","1","450","Dale",NA,"1"
"24","Alabama","G0100470","41","1","470","Dallas",NA,"1"
"25","Alabama","G0100490","41","1","490","DeKalb",NA,"1"
"26","Alabama","G0100510","41","1","510","Elmore",NA,"1"
"27","Alabama","G0100530","41","1","530","Escambia",NA,"1"
"28","Alabama","G0100550","41","1","550","Etowah",NA,"1"
"29","Alabama","G0100570","41","1","570","Fayette",NA,"1"
"30","Alabama","G0100590","41","1","590","Franklin",NA,"1"
"31","Alabama","G0100610","41","1","610","Geneva",NA,"1"
"32","Alabama","G0100630","41","1","630","Greene",NA,"1"
"33","Alabama","G0100650","41","1","650","Hale",NA,"1"
"34","Alabama","G0100670","41","1","670","Henry",NA,"1"
"35","Alabama","G0100690","41","1","690","Houston",NA,"1"
"36","Alabama","G0100710","41","1","710","Jackson",NA,"1"
