"","STATE","GISJOIN","STATEICP","STATEFIPS","COUNTYFIPS","ALLCOUNTIES","VARIABLE NAME","black_population","total_population","cty_percentage"
"1","Alabama","G0100010","41","1","10","Autauga",NA,253472,1327718,0.190908009080241
"2","Alabama","G0100030","41","1","30","Baldwin",NA,910598,6044606,0.150646377944237
"3","Alabama","G0100050","41","1","50","Barbour",NA,302774,1023340,0.295868430824555
"4","Alabama","G0100070","41","1","70","Bibb",NA,2139712,4241136,0.504513884959124
"5","Alabama","G0100090","41","1","90","Blount",NA,113314,4467024,0.025366776628019
"6","Alabama","G0100110","41","1","110","Bullock",NA,176062,249416,0.705896975334381
"7","Alabama","G0100130","41","1","130","Butler",NA,1133246,17488504,0.0647994819911411
"8","Alabama","G0100150","41","1","150","Calhoun",NA,1377512,8375494,0.164469343539617
"9","Alabama","G0100170","41","1","170","Chambers",NA,401466,1769506,0.226880270538783
"10","Alabama","G0100190","41","1","190","Cherokee",NA,915646,11578360,0.0790825298228765
"11","Alabama","G0100210","41","1","210","Chilton",NA,108332,1054220,0.102760334655006
"12","Alabama","G0100230","41","1","230","Choctaw",NA,230022,872356,0.263679048461866
"13","Alabama","G0100250","41","1","250","Clarke",NA,1241488,4507316,0.275438420558931
"14","Alabama","G0100270","41","1","270","Clay",NA,1402206,16836214,0.0832851138622971
"15","Alabama","G0100290","41","1","290","Cleburne",NA,14172,968168,0.0146379553961709
"16","Alabama","G0100310","41","1","310","Coffee",NA,557554,3584952,0.155526210671719
"17","Alabama","G0100330","41","1","330","Colbert",NA,212766,1314612,0.161846993637666
"18","Alabama","G0100350","41","1","350","Conecuh",NA,140258,301500,0.465200663349917
"19","Alabama","G0100370","41","1","370","Coosa",NA,82542,263984,0.3126780410934
"20","Alabama","G0100390","41","1","390","Covington",NA,278050,1356036,0.205046178715019
"21","Alabama","G0100410","41","1","410","Crenshaw",NA,79070,332134,0.238066563495457
"22","Alabama","G0100430","41","1","430","Cullman",NA,24552,1971580,0.012452956512036
"23","Alabama","G0100450","41","1","450","Dale",NA,239976,1190166,0.201632377332238
"24","Alabama","G0100470","41","1","470","Dallas",NA,15088754,64628514,0.233468991720899
"25","Alabama","G0100490","41","1","490","DeKalb",NA,9967930,23648342,0.421506505614643
"26","Alabama","G0100510","41","1","510","Elmore",NA,426834,2584482,0.165152630198237
"27","Alabama","G0100530","41","1","530","Escambia",NA,2011510,8358230,0.240662197618395
"28","Alabama","G0100550","41","1","550","Etowah",NA,386202,2478988,0.155790185349828
"29","Alabama","G0100570","41","1","570","Fayette",NA,2371166,18674014,0.126976771035943
"30","Alabama","G0100590","41","1","590","Franklin",NA,8205618,53658684,0.152922460789385
"31","Alabama","G0100610","41","1","610","Geneva",NA,60504,637442,0.0949168708682515
"32","Alabama","G0100630","41","1","630","Greene",NA,1281880,18860946,0.0679647775885685
"33","Alabama","G0100650","41","1","650","Hale",NA,258320,1186818,0.217657635795884
"34","Alabama","G0100670","41","1","670","Henry",NA,2850166,12125520,0.235055156397416
"35","Alabama","G0100690","41","1","690","Houston",NA,1952204,7327980,0.266404111364933
"36","Alabama","G0100710","41","1","710","Jackson",NA,5952394,41466070,0.14354854462938
"37","Alabama","G0100730","41","1","730","Jefferson",NA,15107612,76885430,0.19649512267799
"38","Alabama","G0100750","41","1","750","Lamar",NA,629390,3431652,0.183407291881578
"39","Alabama","G0100770","41","1","770","Lauderdale",NA,1257790,4728280,0.266014280034177
"40","Alabama","G0100790","41","1","790","Lawrence",NA,378764,9495386,0.0398892683246368
"41","Alabama","G0100810","41","1","810","Lee",NA,3977428,28438850,0.139858960541653
"42","Alabama","G0100830","41","1","830","Limestone",NA,401524,2789280,0.14395256123444
"43","Alabama","G0100850","41","1","850","Lowndes",NA,1829830,4422542,0.413750734306198
"44","Alabama","G0100870","41","1","870","Macon",NA,1047434,5120434,0.204559613501512
"45","Alabama","G0100890","41","1","890","Madison",NA,5304308,33135078,0.160081349438803
"46","Alabama","G0100910","41","1","910","Marengo",NA,243462,472732,0.515010619124578
"47","Alabama","G0100930","41","1","930","Marion",NA,8719650,48666138,0.179172836767939
"48","Alabama","G0100950","41","1","950","Marshall",NA,570840,8779542,0.0650193369995838
"49","Alabama","G0100970","41","1","970","Mobile",NA,3545760,9932656,0.356980046424642
"50","Alabama","G0100990","41","1","990","Monroe",NA,4610660,37336686,0.123488731699434
"51","Alabama","G0101010","41","1","1010","Montgomery",NA,14663838,88804858,0.165124277322756
"52","Alabama","G0101030","41","1","1030","Morgan",NA,602266,8869524,0.0679028547642467
"53","Alabama","G0101050","41","1","1050","Perry",NA,306678,5013282,0.0611730997777504
"54","Alabama","G0101070","41","1","1070","Pickens",NA,405686,4169022,0.0973096328107647
"55","Alabama","G0101090","41","1","1090","Pike",NA,1001028,7055636,0.141876366637961
"56","Alabama","G0101110","41","1","1110","Randolph",NA,565754,7254296,0.0779888220717765
"57","Alabama","G0101130","41","1","1130","Russell",NA,621900,2638864,0.235669591157407
"58","Alabama","G0101170","41","1","1170","Shelby",NA,12929384,32414764,0.398873303535389
"59","Alabama","G0101150","41","1","1150","St Clair",NA,NA,NA,NA
"60","Alabama","G0100010","41","1","1190","Sumter",NA,2063902,6453128,0.319829701192972
"61","Alabama","G0100030","41","1","1210","Talladega",NA,633260,1943674,0.325805664941755
"62","Alabama","G0100050","41","1","1230","Tallapoosa",NA,264886,977924,0.270865629639931
"63","Alabama","G0100070","41","1","1250","Tuscaloosa",NA,1545068,4910122,0.314669981723468
"64","Alabama","G0100090","41","1","1270","Walker",NA,561246,4912628,0.114245572838
"65","Alabama","G0100110","41","1","1290","Washington",NA,3336744,61811224,0.0539828171013083
"66","Alabama","G0100130","41","1","1310","Wilcox",NA,261152,473942,0.551021011009786
"67","Alabama","G0100150","41","1","1330","Winston",NA,209950,1017682,0.206302165116412
"68","Alaska","G0100250","81","2","10","Aleutian Islands",NA,NA,NA,NA
"69","Alaska","G0100270","81","2","13","Aleutians East",NA,7442,80310,0.0926659195616984
"70","Alaska","G0100290","81","2","16","Aleutians West",NA,9478,136940,0.0692127939243464
"71","Alaska","G0100310","81","2","20","Anchorage",NA,421354,7076404,0.0595435195616305
"72","Alaska","G0100330","81","2","40","Barrow",NA,NA,NA,NA
"73","Alaska","G0100350","81","2","50","Bethel",NA,2970,431486,0.00688318972110335
"74","Alaska","G0100370","81","2","60","Bristol Bay Borough",NA,NA,NA,NA
"75","Alaska","G0100390","81","2","62","Bristol Bay Division",NA,NA,NA,NA
"76","Alaska","G0100410","81","2","63","Chugach Census Area",NA,NA,NA,NA
"77","Alaska","G0100430","81","2","66","Copper River Census Area",NA,NA,NA,NA
"78","Alaska","G0100450","81","2","80","Cordova-McCarthy",NA,NA,NA,NA
"79","Alaska","G0100470","81","2","68","Denali",NA,856,47930,0.0178593782599624
"80","Alaska","G0100490","81","2","70","Dillingham",NA,630,118452,0.00531861006990173
"81","Alaska","G0100510","81","2","90","Fairbanks North Star",NA,122956,2370804,0.051862574890206
"82","Alaska","G0100530","81","2","100","Haines",NA,340,61234,0.00555247084952804
"83","Alaska","G0100550","81","2","105","Hoonah-Angoon Census Area",NA,NA,NA,NA
"84","Alaska","G0100570","81","2","110","Juneau",NA,10134,772220,0.0131232032322395
"85","Alaska","G0100590","81","2","122","Kenai Peninsula",NA,9996,1389678,0.00719303320625353
"86","Alaska","G0100610","81","2","120","Kenai-Cook Inlet",NA,NA,NA,NA
"87","Alaska","G0100630","81","2","130","Ketchikan Gateway",NA,2790,330576,0.00843981414258748
"88","Alaska","G0100650","81","2","140","Kobuk",NA,NA,NA,NA
"89","Alaska","G0100670","81","2","150","Kodiak Island",NA,3704,326430,0.0113469962932329
"90","Alaska","G0100690","81","2","158","Kusilvak Census Area",NA,NA,NA,NA
"91","Alaska","G0100710","81","2","160","Kuskokwim",NA,NA,NA,NA
"92","Alaska","G0100730","81","2","164","Lake And Peninsula",NA,NA,NA,NA
"93","Alaska","G0100750","81","2","170","Matanuska-Susitna",NA,29242,2434142,0.0120132679194558
"94","Alaska","G0100770","81","2","180","Nome",NA,1306,237382,0.00550168083510965
